https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1751673600,2025-07-05 00:00:00,BAT/USD,0.12395,0.12395,0.12395,0.12395,0.00000000,0.0
1751587200,2025-07-04 00:00:00,BAT/USD,0.12992,0.13009,0.12383,0.12395,40910.95749837,5070.9131819229615
1751500800,2025-07-03 00:00:00,BAT/USD,0.13143,0.13143,0.12933,0.13025,3413.62488080,444.6246407242
1751414400,2025-07-02 00:00:00,BAT/USD,0.12407,0.13083,0.12407,0.13083,4062.32900910,531.474504260553
1751328000,2025-07-01 00:00:00,BAT/USD,0.12817,0.12817,0.12380,0.12380,301.91502112,37.377079614656
1751241600,2025-06-30 00:00:00,BAT/USD,0.12941,0.13024,0.12716,0.12716,3261.71136316,414.7592169394256
1751155200,2025-06-29 00:00:00,BAT/USD,0.12767,0.12767,0.12714,0.12714,432.39557718,54.9747736826652
1751068800,2025-06-28 00:00:00,BAT/USD,0.12269,0.12714,0.12269,0.12714,1370.70067381,174.2708836682034
1750982400,2025-06-27 00:00:00,BAT/USD,0.11986,0.12240,0.11986,0.12235,14911.84999552,1824.464846951872
1750896000,2025-06-26 00:00:00,BAT/USD,0.12336,0.12475,0.12002,0.12152,2118.67955961,257.46194008380724
1750809600,2025-06-25 00:00:00,BAT/USD,0.12209,0.12313,0.12207,0.12313,7010.75953922,863.2348220641586
1750723200,2025-06-24 00:00:00,BAT/USD,0.12025,0.12025,0.12025,0.12025,0.00000000,0.0
1750636800,2025-06-23 00:00:00,BAT/USD,0.11346,0.12025,0.11344,0.12025,28645.36987045,3444.605726921612
1750550400,2025-06-22 00:00:00,BAT/USD,0.11553,0.11628,0.11143,0.11240,16905.28102163,1900.153586831212
1750464000,2025-06-21 00:00:00,BAT/USD,0.12127,0.12127,0.11553,0.11559,4982.61892040,575.9409210090361
1750377600,2025-06-20 00:00:00,BAT/USD,0.11897,0.11938,0.11897,0.11938,865.80805888,103.36016606909439
1750291200,2025-06-19 00:00:00,BAT/USD,0.12428,0.12428,0.12239,0.12305,3118.58479936,383.741859561248
1750204800,2025-06-18 00:00:00,BAT/USD,0.12119,0.12258,0.12119,0.12258,7041.90231636,863.1963859394089
1750118400,2025-06-17 00:00:00,BAT/USD,0.12305,0.12457,0.12270,0.12270,13972.75384908,1714.456897282116
1750032000,2025-06-16 00:00:00,BAT/USD,0.13005,0.13075,0.12797,0.12797,5076.11323586,649.5902107930042
1749945600,2025-06-15 00:00:00,BAT/USD,0.12567,0.12567,0.12567,0.12567,255.74719404,32.1397498750068
1749859200,2025-06-14 00:00:00,BAT/USD,0.12715,0.12715,0.12715,0.12715,113.32272924,14.408985022866002
1749772800,2025-06-13 00:00:00,BAT/USD,0.13854,0.13854,0.13854,0.13854,0.00000000,0.0
1749686400,2025-06-12 00:00:00,BAT/USD,0.13854,0.13854,0.13854,0.13854,0.00000000,0.0
1749600000,2025-06-11 00:00:00,BAT/USD,0.14236,0.14609,0.13854,0.13854,92377.36563985,12797.960235744818
1749513600,2025-06-10 00:00:00,BAT/USD,0.13999,0.14120,0.13999,0.14120,355.54884632,50.203497100384
1749427200,2025-06-09 00:00:00,BAT/USD,0.13376,0.13376,0.13375,0.13375,1008.59980663,134.90022413676252
1749340800,2025-06-08 00:00:00,BAT/USD,0.13471,0.13471,0.13471,0.13471,1706.39364368,229.86828774013279
1749254400,2025-06-07 00:00:00,BAT/USD,0.12556,0.12556,0.12556,0.12556,0.00000000,0.0
1749168000,2025-06-06 00:00:00,BAT/USD,0.12556,0.12556,0.12556,0.12556,0.00000000,0.0
1749081600,2025-06-05 00:00:00,BAT/USD,0.13205,0.13205,0.12495,0.12556,6532.61221271,820.2347894278676
1748995200,2025-06-04 00:00:00,BAT/USD,0.13285,0.13285,0.13285,0.13285,300.00000000,39.855
1748908800,2025-06-03 00:00:00,BAT/USD,0.12878,0.12878,0.12878,0.12878,0.00000000,0.0
1748822400,2025-06-02 00:00:00,BAT/USD,0.13046,0.13046,0.12878,0.12878,5903.67257366,760.2749540359348
1748736000,2025-06-01 00:00:00,BAT/USD,0.13061,0.13061,0.12792,0.12792,5273.96068863,674.6450512895497
1748649600,2025-05-31 00:00:00,BAT/USD,0.12967,0.13370,0.12873,0.13019,14176.60880362,1845.6527001432878
1748563200,2025-05-30 00:00:00,BAT/USD,0.13461,0.13461,0.13097,0.13097,990.24242424,129.6920503027128
1748476800,2025-05-29 00:00:00,BAT/USD,0.14143,0.14143,0.14143,0.14143,0.00000000,0.0
1748390400,2025-05-28 00:00:00,BAT/USD,0.14576,0.14576,0.14143,0.14143,686.05927552,97.02936333679361
1748304000,2025-05-27 00:00:00,BAT/USD,0.13802,0.13803,0.13802,0.13803,1946.65307627,268.6965241175481
1748217600,2025-05-26 00:00:00,BAT/USD,0.14000,0.14000,0.14000,0.14000,0.00000000,0.0
1748131200,2025-05-25 00:00:00,BAT/USD,0.14000,0.14000,0.14000,0.14000,200.00000000,28.000000000000004
1748044800,2025-05-24 00:00:00,BAT/USD,0.15810,0.15810,0.15810,0.15810,0.00000000,0.0
1747958400,2025-05-23 00:00:00,BAT/USD,0.15759,0.15976,0.15751,0.15810,13328.40411312,2107.2206902842718
1747872000,2025-05-22 00:00:00,BAT/USD,0.15370,0.15370,0.15370,0.15370,75.01312730,11.52951766601
1747785600,2025-05-21 00:00:00,BAT/USD,0.15357,0.15357,0.14626,0.14626,1141.98640961,167.0269322695586
1747699200,2025-05-20 00:00:00,BAT/USD,0.14992,0.14992,0.14081,0.14698,16183.43090243,2378.6406740391612
