https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1751673600,2025-07-05 00:00:00,BCH/USD,483.80,483.80,483.80,483.80,0.70000000,338.65999999999997
1751587200,2025-07-04 00:00:00,BCH/USD,496.55,496.55,469.79,484.13,2841.17661246,1375498.8333902596
1751500800,2025-07-03 00:00:00,BCH/USD,511.05,514.64,491.19,496.63,2177.93968958,1081630.1880361154
1751414400,2025-07-02 00:00:00,BCH/USD,500.55,512.50,499.19,510.98,2009.80904951,1026972.2281186199
1751328000,2025-07-01 00:00:00,BCH/USD,507.08,527.75,498.75,500.68,2134.13562689,1068519.025671285
1751241600,2025-06-30 00:00:00,BCH/USD,503.58,521.85,488.49,506.25,2852.51706255,1444086.7629159375
1751155200,2025-06-29 00:00:00,BCH/USD,491.09,508.97,488.88,504.48,632.30358839,318984.5142709872
1751068800,2025-06-28 00:00:00,BCH/USD,504.99,504.99,487.39,492.48,1172.55895337,577461.8333556576
1750982400,2025-06-27 00:00:00,BCH/USD,490.63,510.05,485.64,505.05,6349.15798682,3206642.241243441
1750896000,2025-06-26 00:00:00,BCH/USD,482.75,505.61,482.36,489.38,6302.01819379,3084081.66367695
1750809600,2025-06-25 00:00:00,BCH/USD,453.82,494.53,453.82,482.53,5817.95854033,2807339.5344654345
1750723200,2025-06-24 00:00:00,BCH/USD,462.59,467.14,449.22,454.00,964.92641998,438076.59467092
1750636800,2025-06-23 00:00:00,BCH/USD,455.09,469.67,437.91,463.07,1339.91768917,620475.6843239518
1750550400,2025-06-22 00:00:00,BCH/USD,468.55,470.50,437.60,455.62,1505.68066334,686018.2238309708
1750464000,2025-06-21 00:00:00,BCH/USD,473.07,478.17,458.69,467.30,1889.87808135,883140.027414855
1750377600,2025-06-20 00:00:00,BCH/USD,497.04,504.93,473.05,474.22,1417.78456236,672341.7951623593
1750291200,2025-06-19 00:00:00,BCH/USD,459.99,502.27,453.75,497.55,2384.27577339,1186296.4110501944
1750204800,2025-06-18 00:00:00,BCH/USD,464.83,480.73,457.88,459.76,945.15212247,434543.1398268072
1750118400,2025-06-17 00:00:00,BCH/USD,462.94,482.67,457.58,464.55,1394.96839796,648032.569272318
1750032000,2025-06-16 00:00:00,BCH/USD,459.66,475.61,451.70,464.10,1747.52554075,811026.603462075
1749945600,2025-06-15 00:00:00,BCH/USD,431.93,469.05,431.93,460.27,1713.85896622,788837.8663820793
1749859200,2025-06-14 00:00:00,BCH/USD,449.03,449.98,421.78,430.93,1110.30408655,478463.3400169915
1749772800,2025-06-13 00:00:00,BCH/USD,424.23,453.60,399.52,448.73,1988.46670610,892284.665028253
1749686400,2025-06-12 00:00:00,BCH/USD,428.09,441.40,423.88,425.75,1000.37322445,425908.9003095875
1749600000,2025-06-11 00:00:00,BCH/USD,438.10,446.44,422.43,428.40,1584.91583362,678977.943122808
1749513600,2025-06-10 00:00:00,BCH/USD,425.02,443.03,418.48,437.95,1181.05686942,517243.85596248903
1749427200,2025-06-09 00:00:00,BCH/USD,411.90,429.78,410.91,425.29,683.90054245,290856.0616985605
1749340800,2025-06-08 00:00:00,BCH/USD,409.85,419.15,406.53,411.51,233.94644849,96271.3030181199
1749254400,2025-06-07 00:00:00,BCH/USD,396.13,411.58,394.71,409.31,407.44734149,166772.2713452719
1749168000,2025-06-06 00:00:00,BCH/USD,385.28,399.86,381.22,396.33,312.57907091,123884.46317376029
1749081600,2025-06-05 00:00:00,BCH/USD,401.53,405.12,378.01,385.46,385.72671959,148682.2213331614
1748995200,2025-06-04 00:00:00,BCH/USD,401.56,409.73,398.36,401.00,352.34502743,141290.35599943
1748908800,2025-06-03 00:00:00,BCH/USD,402.85,409.00,400.38,400.90,301.56137725,120895.956139525
1748822400,2025-06-02 00:00:00,BCH/USD,403.72,406.52,397.98,404.74,240.87582096,97492.0797753504
1748736000,2025-06-01 00:00:00,BCH/USD,415.08,415.24,397.74,403.53,419.55455972,169302.8514838116
1748649600,2025-05-31 00:00:00,BCH/USD,398.71,422.00,390.14,414.38,426.78117267,176849.5823309946
1748563200,2025-05-30 00:00:00,BCH/USD,409.90,414.57,395.31,398.52,466.49141815,185906.159961138
1748476800,2025-05-29 00:00:00,BCH/USD,424.91,428.03,406.58,408.97,455.78171703,186401.04881375912
1748390400,2025-05-28 00:00:00,BCH/USD,414.07,426.86,405.01,425.10,616.58201332,262109.013862332
1748304000,2025-05-27 00:00:00,BCH/USD,416.49,424.38,408.54,415.17,184.48606140,76593.07811143801
1748217600,2025-05-26 00:00:00,BCH/USD,422.81,426.82,414.06,416.12,131.93350079,54900.168348734805
1748131200,2025-05-25 00:00:00,BCH/USD,421.75,426.86,408.08,422.99,305.87762375,129383.1760700125
1748044800,2025-05-24 00:00:00,BCH/USD,427.20,432.73,420.08,421.49,358.80736546,151233.71646773542
1747958400,2025-05-23 00:00:00,BCH/USD,444.10,461.59,424.86,426.09,1506.04540618,641710.8871192362
1747872000,2025-05-22 00:00:00,BCH/USD,408.65,445.74,408.65,443.60,2168.66352484,962019.139619024
1747785600,2025-05-21 00:00:00,BCH/USD,394.13,411.84,391.13,407.32,1364.36806787,555734.4014048084
1747699200,2025-05-20 00:00:00,BCH/USD,393.03,398.31,384.56,393.94,255.60891890,100694.57751146599
1747612800,2025-05-19 00:00:00,BCH/USD,406.95,408.50,376.07,392.99,1948.65183662,765800.6852732939
1747526400,2025-05-18 00:00:00,BCH/USD,392.22,408.00,390.20,406.10,1004.37434412,407876.42114713206
1747440000,2025-05-17 00:00:00,BCH/USD,396.38,401.72,386.82,392.34,319.62398172,125401.2729880248
1747353600,2025-05-16 00:00:00,BCH/USD,395.94,403.82,393.86,396.23,181.59127596,71951.9112736308
1747267200,2025-05-15 00:00:00,BCH/USD,403.37,405.00,384.86,396.19,739.25536593,292885.58342780673
1747180800,2025-05-14 00:00:00,BCH/USD,411.31,413.66,398.97,402.87,1921.52203441,774123.5820027568
1747094400,2025-05-13 00:00:00,BCH/USD,410.35,415.55,392.18,410.92,2065.28427251,848666.6132598092
1747008000,2025-05-12 00:00:00,BCH/USD,409.02,418.95,397.65,410.53,1436.11935227,589570.0776874031
1746921600,2025-05-11 00:00:00,BCH/USD,430.44,430.44,402.97,407.63,1514.02489029,617161.9660289127
1746835200,2025-05-10 00:00:00,BCH/USD,413.13,432.56,410.37,430.91,876.56234622,377719.4806096602
1746748800,2025-05-09 00:00:00,BCH/USD,421.98,427.72,403.00,415.94,1764.33215784,733856.3177319696
1746662400,2025-05-08 00:00:00,BCH/USD,384.29,430.35,381.90,421.81,4257.25457441,1795752.552031882
1746576000,2025-05-07 00:00:00,BCH/USD,375.03,391.52,355.72,383.88,2250.67711687,863989.9316240556
