https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1751673600,2025-07-05 00:00:00,LINK/USD,13.16,13.16,13.16,13.16,0.00000000,0.0
1751587200,2025-07-04 00:00:00,LINK/USD,13.68,13.77,12.95,13.16,61010.36166529,802896.3595152164
1751500800,2025-07-03 00:00:00,LINK/USD,13.58,14.06,13.45,13.68,102986.27789928,1408852.2816621503
1751414400,2025-07-02 00:00:00,LINK/USD,12.90,13.83,12.75,13.56,105864.97464292,1435529.0561579952
1751328000,2025-07-01 00:00:00,LINK/USD,13.41,13.43,12.79,12.90,38081.31660443,491248.984197147
1751241600,2025-06-30 00:00:00,LINK/USD,13.72,13.77,13.13,13.38,152201.38911719,2036454.5863880024
1751155200,2025-06-29 00:00:00,LINK/USD,13.40,13.88,13.26,13.70,48616.74693410,666049.43299717
1751068800,2025-06-28 00:00:00,LINK/USD,13.06,13.45,13.01,13.39,37314.94192787,499647.07241417933
1750982400,2025-06-27 00:00:00,LINK/USD,12.96,13.23,12.75,13.06,71453.18600951,933178.6092842006
1750896000,2025-06-26 00:00:00,LINK/USD,13.14,13.56,12.89,12.93,86233.81541912,1115003.2333692217
1750809600,2025-06-25 00:00:00,LINK/USD,13.43,13.50,12.99,13.14,112779.17954885,1481918.4192718891
1750723200,2025-06-24 00:00:00,LINK/USD,12.87,13.74,12.80,13.41,104414.44262947,1400197.6756611927
1750636800,2025-06-23 00:00:00,LINK/USD,11.65,12.95,11.42,12.87,168424.58561734,2167624.4168951656
1750550400,2025-06-22 00:00:00,LINK/USD,12.04,12.18,10.95,11.66,133111.57490487,1552080.9633907843
1750464000,2025-06-21 00:00:00,LINK/USD,12.52,12.73,11.69,12.04,135568.47785120,1632244.473328448
1750377600,2025-06-20 00:00:00,LINK/USD,13.07,13.28,12.31,12.51,52063.18077993,651310.3915569243
1750291200,2025-06-19 00:00:00,LINK/USD,13.11,13.38,12.94,13.07,35469.52459332,463586.6864346924
1750204800,2025-06-18 00:00:00,LINK/USD,13.01,13.19,12.64,13.05,42784.36097391,558335.9107095256
1750118400,2025-06-17 00:00:00,LINK/USD,13.58,13.75,12.81,13.00,73792.57970739,959303.53619607
1750032000,2025-06-16 00:00:00,LINK/USD,13.30,14.15,13.18,13.54,117137.81567303,1586046.024212826
1749945600,2025-06-15 00:00:00,LINK/USD,13.16,13.32,13.01,13.30,68670.90425941,913323.0266501531
1749859200,2025-06-14 00:00:00,LINK/USD,13.44,13.46,12.85,13.18,70348.44955047,927192.5650751946
1749772800,2025-06-13 00:00:00,LINK/USD,13.97,13.97,12.80,13.45,284809.51264389,3830687.94506032
1749686400,2025-06-12 00:00:00,LINK/USD,14.90,14.92,13.84,13.99,144189.70060450,2017213.911456955
1749600000,2025-06-11 00:00:00,LINK/USD,15.44,15.64,14.79,14.91,48696.32939759,726062.271318067
1749513600,2025-06-10 00:00:00,LINK/USD,14.36,15.53,14.34,15.44,111953.98535587,1728569.5338946327
1749427200,2025-06-09 00:00:00,LINK/USD,13.73,14.40,13.55,14.35,54440.64775143,781223.2952330204
1749340800,2025-06-08 00:00:00,LINK/USD,13.77,13.97,13.58,13.68,25617.61017145,350448.907145436
1749254400,2025-06-07 00:00:00,LINK/USD,13.58,14.09,13.50,13.83,33116.53819400,458001.72322302003
1749168000,2025-06-06 00:00:00,LINK/USD,12.89,13.69,12.88,13.58,59920.87451160,813725.475867528
1749081600,2025-06-05 00:00:00,LINK/USD,13.85,14.04,12.65,12.90,63547.09315420,819757.50168918
1748995200,2025-06-04 00:00:00,LINK/USD,14.16,14.46,13.74,13.87,38647.28841873,536037.8903677851
1748908800,2025-06-03 00:00:00,LINK/USD,14.09,14.45,14.02,14.12,49682.56371168,701517.7996089215
1748822400,2025-06-02 00:00:00,LINK/USD,14.05,14.12,13.62,14.09,44603.98855104,628470.1986841536
1748736000,2025-06-01 00:00:00,LINK/USD,13.96,14.13,13.60,14.07,64054.61905114,901248.4900495398
1748649600,2025-05-31 00:00:00,LINK/USD,13.91,14.19,13.44,13.97,68324.35492612,954491.2383178964
1748563200,2025-05-30 00:00:00,LINK/USD,15.07,15.11,13.79,13.91,75001.28554164,1043267.8818842124
1748476800,2025-05-29 00:00:00,LINK/USD,15.69,16.18,15.01,15.03,68211.66525624,1025221.3288012871
1748390400,2025-05-28 00:00:00,LINK/USD,15.93,16.15,15.30,15.66,48163.72101984,754243.8711706944
1748304000,2025-05-27 00:00:00,LINK/USD,15.54,16.13,15.18,15.92,49786.52818082,792601.5286386544
1748217600,2025-05-26 00:00:00,LINK/USD,15.52,15.96,15.44,15.54,38114.80190894,592304.0216649275
1748131200,2025-05-25 00:00:00,LINK/USD,15.36,15.58,14.87,15.53,37238.51315661,578314.1093221533
1748044800,2025-05-24 00:00:00,LINK/USD,15.52,15.91,15.25,15.36,20428.74232929,313785.4821778944
1747958400,2025-05-23 00:00:00,LINK/USD,16.69,17.15,15.43,15.54,76086.76071254,1182388.2614728715
1747872000,2025-05-22 00:00:00,LINK/USD,16.12,16.90,16.07,16.75,91778.38440283,1537287.9387474023
1747785600,2025-05-21 00:00:00,LINK/USD,15.71,16.48,15.57,16.13,103884.87941312,1675663.1049336256
1747699200,2025-05-20 00:00:00,LINK/USD,15.80,16.40,15.26,15.71,25326.12033168,397873.3504106928
1747612800,2025-05-19 00:00:00,LINK/USD,15.84,15.91,14.84,15.78,29689.60200474,468501.9196347972
1747526400,2025-05-18 00:00:00,LINK/USD,15.32,16.35,14.91,15.88,23690.01003121,376197.3592956148
1747440000,2025-05-17 00:00:00,LINK/USD,15.76,15.79,15.11,15.34,37296.78601986,572132.6975446524
1747353600,2025-05-16 00:00:00,LINK/USD,16.02,16.50,15.62,15.77,32218.76515458,508089.92648772657
1747267200,2025-05-15 00:00:00,LINK/USD,17.02,17.20,15.71,16.04,57480.44059989,921986.2672222354
1747180800,2025-05-14 00:00:00,LINK/USD,17.39,17.52,16.69,16.97,56067.91879982,951472.5820329454
1747094400,2025-05-13 00:00:00,LINK/USD,16.57,17.78,16.04,17.42,113290.75442860,1973524.9421462123
1747008000,2025-05-12 00:00:00,LINK/USD,17.09,17.95,16.05,16.73,72462.53971195,1212298.2893809234
1746921600,2025-05-11 00:00:00,LINK/USD,17.34,17.40,16.33,17.07,46799.32081703,798864.4063467021
1746835200,2025-05-10 00:00:00,LINK/USD,16.09,17.44,15.92,17.32,37017.46060731,641142.4177186092
1746748800,2025-05-09 00:00:00,LINK/USD,15.83,16.71,15.59,15.99,71252.86413847,1139333.2975741352
1746662400,2025-05-08 00:00:00,LINK/USD,13.82,15.97,13.81,15.85,87778.62141865,1391291.1494856025
1746576000,2025-05-07 00:00:00,LINK/USD,13.81,14.09,13.49,13.81,23793.48926576,328588.0867601456
1746489600,2025-05-06 00:00:00,LINK/USD,13.65,13.88,13.23,13.82,37927.28265565,524155.046301083
1746403200,2025-05-05 00:00:00,LINK/USD,13.89,14.15,13.50,13.66,40420.97954835,552150.580630461
1746316800,2025-05-04 00:00:00,LINK/USD,14.18,14.34,13.85,13.86,8113.33766657,112450.8600586602
1746230400,2025-05-03 00:00:00,LINK/USD,14.58,14.58,14.19,14.31,11020.26639835,157700.01216038852
1746144000,2025-05-02 00:00:00,LINK/USD,14.75,15.05,14.57,14.65,19177.00407338,280943.109675017
1746057600,2025-05-01 00:00:00,LINK/USD,14.30,15.03,14.30,14.75,25849.71555237,381283.30439745745
1745971200,2025-04-30 00:00:00,LINK/USD,14.59,14.76,13.86,14.31,22544.94944322,322618.22653247823
