https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1751673600,2025-07-05 00:00:00,MATIC/USD,0.17803,0.17803,0.17803,0.17803,0.00000000,0.0
1751587200,2025-07-04 00:00:00,MATIC/USD,0.18752,0.18752,0.17803,0.17803,54094.81564477,9630.500029238403
1751500800,2025-07-03 00:00:00,MATIC/USD,0.18901,0.19220,0.18679,0.18808,267559.37088586,50322.566476212545
1751414400,2025-07-02 00:00:00,MATIC/USD,0.17601,0.19125,0.17571,0.18900,52716.66766045,9963.45018782505
1751328000,2025-07-01 00:00:00,MATIC/USD,0.18902,0.18904,0.17607,0.17607,219425.37513251,38634.225799581036
1751241600,2025-06-30 00:00:00,MATIC/USD,0.18253,0.19213,0.18253,0.18902,137168.80495695,25927.647512962692
1751155200,2025-06-29 00:00:00,MATIC/USD,0.17836,0.18609,0.17805,0.18609,18051.12047563,3359.133009309987
1751068800,2025-06-28 00:00:00,MATIC/USD,0.17505,0.17984,0.17505,0.17984,79334.78523050,14267.56777585312
1750982400,2025-06-27 00:00:00,MATIC/USD,0.17299,0.17574,0.17299,0.17444,311539.74266463,54344.99271041806
1750896000,2025-06-26 00:00:00,MATIC/USD,0.17867,0.17884,0.17220,0.17494,50382.12984323,8813.849794774656
1750809600,2025-06-25 00:00:00,MATIC/USD,0.18465,0.18482,0.17760,0.17760,57483.00483816,10208.981659257217
1750723200,2025-06-24 00:00:00,MATIC/USD,0.18102,0.18361,0.18026,0.18360,90283.88606811,16576.121482104998
1750636800,2025-06-23 00:00:00,MATIC/USD,0.17330,0.18226,0.17011,0.18200,34423.20435151,6265.02319197482
1750550400,2025-06-22 00:00:00,MATIC/USD,0.17299,0.17563,0.16619,0.17257,117711.07929660,20313.400954214263
1750464000,2025-06-21 00:00:00,MATIC/USD,0.18301,0.18780,0.16900,0.17075,59708.63244515,10195.248990009362
1750377600,2025-06-20 00:00:00,MATIC/USD,0.18727,0.19273,0.18234,0.18234,479150.92396103,87368.37947505421
1750291200,2025-06-19 00:00:00,MATIC/USD,0.19062,0.19155,0.18493,0.18786,146866.10718504,27590.266895781613
1750204800,2025-06-18 00:00:00,MATIC/USD,0.19414,0.19758,0.18338,0.18943,334369.67541201,63339.64761329705
