https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USD
1751673600,2025-07-05 00:00:00,ZRX/USD,0.21454,0.21454,0.21454,0.21454,0.00000000,0.0
1751587200,2025-07-04 00:00:00,ZRX/USD,0.21401,0.21455,0.21401,0.21454,741.59018270,159.100757796458
1751500800,2025-07-03 00:00:00,ZRX/USD,0.22700,0.23000,0.22413,0.22456,119007.51766219,26724.32816622139
1751414400,2025-07-02 00:00:00,ZRX/USD,0.21276,0.22643,0.21276,0.22642,134057.65483865,30353.334208567132
1751328000,2025-07-01 00:00:00,ZRX/USD,0.21676,0.21676,0.20954,0.21053,7491.67056686,1577.2214044410357
1751241600,2025-06-30 00:00:00,ZRX/USD,0.22643,0.22643,0.21674,0.21818,11617.98242536,2534.811405565045
1751155200,2025-06-29 00:00:00,ZRX/USD,0.21952,0.22643,0.21952,0.22643,53465.77980015,12106.256520147963
1751068800,2025-06-28 00:00:00,ZRX/USD,0.21263,0.21770,0.21263,0.21770,1888.29392337,411.081587117649
1750982400,2025-06-27 00:00:00,ZRX/USD,0.21185,0.21333,0.20136,0.20857,1158.35396264,241.5978859878248
1750896000,2025-06-26 00:00:00,ZRX/USD,0.21878,0.22055,0.21135,0.21166,5548.06808199,1174.3040902340033
1750809600,2025-06-25 00:00:00,ZRX/USD,0.22465,0.22465,0.21966,0.21966,877.28913167,192.70533066263218
1750723200,2025-06-24 00:00:00,ZRX/USD,0.22452,0.22509,0.22273,0.22329,1123.70863683,250.91290151777068
1750636800,2025-06-23 00:00:00,ZRX/USD,0.20816,0.20816,0.20814,0.20814,1117.85630325,232.670610958455
1750550400,2025-06-22 00:00:00,ZRX/USD,0.20720,0.20721,0.19203,0.19737,172454.19899946,34037.28525652342
1750464000,2025-06-21 00:00:00,ZRX/USD,0.21001,0.21001,0.21000,0.21000,50154.65968134,10532.478533081401
1750377600,2025-06-20 00:00:00,ZRX/USD,0.22578,0.22579,0.22578,0.22579,500.00000000,112.895
1750291200,2025-06-19 00:00:00,ZRX/USD,0.22269,0.22269,0.22269,0.22269,2184.47956052,486.46175333219884
1750204800,2025-06-18 00:00:00,ZRX/USD,0.22000,0.22225,0.21820,0.22225,41803.82535350,9290.900184815375
1750118400,2025-06-17 00:00:00,ZRX/USD,0.23095,0.23393,0.22000,0.22283,14988.98214799,3339.994892036612
1750032000,2025-06-16 00:00:00,ZRX/USD,0.23092,0.23786,0.23092,0.23289,5869.47658515,1366.9424019155836
1749945600,2025-06-15 00:00:00,ZRX/USD,0.22907,0.22907,0.22906,0.22906,2520.89318100,577.43579203986
1749859200,2025-06-14 00:00:00,ZRX/USD,0.22569,0.22569,0.22569,0.22569,65.35662934,14.7503376757446
1749772800,2025-06-13 00:00:00,ZRX/USD,0.22829,0.23031,0.22172,0.22951,16084.38106665,3691.526298606841
1749686400,2025-06-12 00:00:00,ZRX/USD,0.24500,0.25143,0.23637,0.23637,9440.91295612,2231.5485954380847
1749600000,2025-06-11 00:00:00,ZRX/USD,0.25988,0.25988,0.25988,0.25988,133.37481776,34.661447639468804
1749513600,2025-06-10 00:00:00,ZRX/USD,0.25064,0.26159,0.25064,0.26159,2022.06192610,528.951179248499
1749427200,2025-06-09 00:00:00,ZRX/USD,0.24130,0.24456,0.24083,0.24456,5227.88670427,1278.5319723962714
1749340800,2025-06-08 00:00:00,ZRX/USD,0.23913,0.23913,0.23913,0.23913,41.81126395,9.9983275483635
1749254400,2025-06-07 00:00:00,ZRX/USD,0.23770,0.23770,0.23770,0.23770,126.55795400,30.082825665799998
1749168000,2025-06-06 00:00:00,ZRX/USD,0.22935,0.23837,0.22884,0.23217,16021.20973083,3719.644263206801
1749081600,2025-06-05 00:00:00,ZRX/USD,0.24038,0.24267,0.22425,0.22665,19885.49960634,4507.048485776961
1748995200,2025-06-04 00:00:00,ZRX/USD,0.24746,0.24747,0.24483,0.24483,3231.21820093,791.0991521336919
1748908800,2025-06-03 00:00:00,ZRX/USD,0.24647,0.24947,0.24475,0.24947,8789.26783100,2192.65864579957
1748822400,2025-06-02 00:00:00,ZRX/USD,0.24039,0.24237,0.24039,0.24237,1587.56609609,384.77839470933327
1748736000,2025-06-01 00:00:00,ZRX/USD,0.23451,0.23799,0.23193,0.23565,2826.34968340,666.0293028932099
1748649600,2025-05-31 00:00:00,ZRX/USD,0.22755,0.23616,0.22754,0.23616,4176.35797880,986.2887002734079
1748563200,2025-05-30 00:00:00,ZRX/USD,0.24205,0.24205,0.23094,0.23094,3977.93140975,918.6634797676651
1748476800,2025-05-29 00:00:00,ZRX/USD,0.26094,0.26554,0.25728,0.25728,3946.33834486,1015.3139293655807
1748390400,2025-05-28 00:00:00,ZRX/USD,0.26188,0.26467,0.25309,0.26104,37343.74383003,9748.21088939103
1748304000,2025-05-27 00:00:00,ZRX/USD,0.26418,0.26907,0.26327,0.26327,42615.65932879,11219.424631490545
1748217600,2025-05-26 00:00:00,ZRX/USD,0.26361,0.27004,0.26310,0.27004,2756.82043738,744.4517909100952
1748131200,2025-05-25 00:00:00,ZRX/USD,0.25742,0.25892,0.24887,0.25892,12462.70543559,3226.843691382963
1748044800,2025-05-24 00:00:00,ZRX/USD,0.26156,0.26447,0.25978,0.25989,688378.87541110,178902.7859305908
