,média,mediana,desvio padrão,variância,mínimo,máximo,amplitude,coef_variação
ADAUSD,0.5044407943143812,0.442725,0.21532127383395566,0.046363250965477325,0.24121,1.2292,0.98799,0.426851428871079
BATUSD,0.2524446404682274,0.224995,0.11849946588141326,0.014042123414180227,0.1124,0.95121,0.8388100000000001,0.46940773098459804
BCHUSD,397.58879504914455,315.4,323.2685487114139,104502.55458598379,76.17,2844.02,2767.85,0.8130725833746292
BTCUSD,23618.814732765295,10269.98,27194.646763831737,739548812.609584,162.0,111743.0,111581.0,1.1513976070147947
ETHUSD,1553.5343311874103,1576.295,1217.125755978635,1481395.1058665637,82.91,4811.59,4728.68,0.7834559761858312
LINKUSD,11.653202341137124,11.12,5.088335321822685,25.891156347308367,5.13,29.24,24.11,0.43664695530603503
LTCUSD,93.32271735424479,76.82,52.979809178989264,2806.860180642115,22.82,388.32,365.5,0.5677053849373308
MATICUSD,0.6967306688963211,0.69886,0.30637157415235144,0.09386354144858979,0.16563,1.70227,1.53664,0.4397274123696454
XRPUSD,0.6202122315653298,0.465025,0.5738473806169146,0.3293008162408941,0.00539,3.29261,3.28722,0.9252435721375623
ZRXUSD,0.3406727842809365,0.295075,0.16985357986954736,0.0288502385945007,0.1477,1.35863,1.21093,0.4985827682949785
